Título;ISSN impresa;ISSN en linea;Instituto;URL
REVISTA FAVE CIENCIAS VETERINARIAS;1666-938X;;UNIV NAC LITORAL , CIUDAD UNIV, FAC BIOQUIM & CIENC BIOL, PARAJE POZO, SANTA FE, ARGENTINA, 53000;
REVISTA IBEROAMERICANA DE DIAGNOSTICO Y EVALUACION-E AVALIACAO PSICOLOGICA;2183-6051;;AIDEP , MARIO BRAVO 427 1 C, CAPITAL FEDERAL, BUENOS AIRES, ARGENTINA, C175ASM CPA;
REVISTA LATINOAMERICANA DE ESTUDIOS SOBRE CUERPOS EMOCIONES Y SOCIEDAD;1852-8759;;CONSEJO NACL INVESTIGACIONES CIENTIFICAS & TECNICAS, CENTRO EST AVANCADO , AV GENERAL PAZ 154, 2O PISO, CORDONA, SPAIN, 5000;
REVISTA LATINOAMERICANA DE LA PAPA;1019-6609;1853-4961;ASOC LATINOAMERICANA PAPA , ASOC LATINOAMERICANA PAPA, BALCARCE, ARGENTINA, 00000;
REVISTA LATINOAMERICANA DE METODOLOGIA DE LA INVESTIGACION SOCIAL;1853-6190;;ESTUDIOS SOCIOLOGICOS EDITORA , BILLINGHURST 1260, BUENOS AIRES, ARGENTINA, 1413;
REVISTA LATINOAMERICANA DE METODOLOGIA DE LAS CIENCIAS SOCIALES;1853-7863;;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;
REVISTA MEDICA DE ROSARIO;0327-5019;1851-2135;CIRCULO MEDICO DE ROSARIO , SANTA FE, 1798, ROSARIO, ARGENTINA, S2000AUB;
REVISTA TEFROS;1669-726X;1667-9229;UNIV NACL RIO CUARTO, TALLER ETNOHISTORIA FRONTERA SUR , ENLACE RUTA 36, KM 601, RIO CUARTO, CORDOBA, ARGENTINA, X5000BYA;
REVISTA VETERINARIA-CORRIENTES;1668-4834;1669-6840;UNIV NACIONAL NORDESTE-UNNE , INST ICTIOLOGIA, FAC CIENCIAS VET, SARGENTO CABRAL 2139, CORRIENTES, ARGENTINA, 3400;
SABERES;1852-4184;1852-4222;UNIV NACL ROSARIO, FAC CIENCIAS ECONOMICAS & ESTADISTICA , BLVD ORONO 1261, ROSARIO, ARGENTINA, SANTA FE, 2000;
SALUD COLECTIVA;1669-2381;1851-8265;UNIVERSIDAD NACIONAL DE LANUS , 29 DE SEPTIEMBRE 3901, LANUS, BUENOS AIRES, ARGENTINA, CP 1826;
SERIE CONSERVACION DE LA NATURALEZA;0325-9625;;FUNDACION MIGUEL LILLO , MIGUEL LILLO 251, SAN MIGUEL DE TUCUMAN, ARGENTINA, T4000JFE;
SERIE CORRELACION GEOLOGICA;1514-4186;1666-9479;UNIV NACIONAL TUCUMAN , MIGUEL LILLO 205, TUCUMAN, ARGENTINA, 4000;
SIGNO Y SENA-REVISTA DEL INSTITUTO DE LINGUISTICA;2314-2189;;UNIV BUENOS AIRES, INST LINGUISTICA , 25 MAYO 221 PISO 1O, BUENOS AIRES, ARGENTINA, C1002ABE;
SOCIEDADES PRECAPITALISTAS;2250-5121;;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;
SOCIOHISTORICA-CUADERNOS DEL CISH;1514-0113;1852-1606;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;
